Enfermedad,Abstract,Tratamiento,Diagnostico
Enfermedad vascular periférica,"La enfermedad vascular periférica (EVP), comúnmente llamada enfermedad arterial periférica (EAP), es la obstrucción de grandes arterias que no forman parte de la vasculatura coronaria, arco aórtico o cerebral. La EVP puede ser consecuencia de ateroesclerosis, procesos inflamatorios que terminan en estenosis, un embolismo o formación de trombos. Genera isquemia (falta de irrigación sanguínea) en forma aguda o crónica. Con frecuencia, el término EVP se usa para referir a bloqueos ateroscleróticos que se encuentran en el miembro inferior.[1]​ ","Dependiendo de la severidad de la enfermedad, los siguientes pasos pueden ser tomados:[26]​

Cesación tabáquica (el cigarrillo promueve la EVP y es un factor de riesgo para enfermedad cardiovascular)
Manejo de la diabetes.
Manejo de la hipertensión.
Manejo del colesterol y medicación con antiplaquetarios. Medicación con aspirina, clopidogrel y estatinas, que reducen la formación de coágulos y niveles de colesterol, respectivamente, pueden ayudar con la progresión de la enfermedad y atender otros factores de riesgo cardiovascular que los pacientes pueden tener.
Ejercicio regular, ayuda a abrir vasos alternativos (flujo colateral)Regular exercise for those with claudication helps open up alternative small vessels (collateral flow) and the limitation in walking often improves.  Treadmill exercise (35 to 50 minutes, 3 to 4 times per week[1]​) has been reviewed as another treatment with a number of positive outcomes including reduction in cardiovascular events and improved quality of life.
Tratamiento con Cilostazol[27]​ o pentoxifilina[28]​ para aliviar los síntomas de claudicación.[1]​El tratamiento con otras drogas o vitaminas no está soportado por evidencia clínica, ""pero ensayos evaluando el efecto de folato y vitamina B-12 en hiperhomocisteinemia, un supuesto factor de riesgo vascular, están cerca de ser completados"".[26]​
Luego de un ensayo con el mejor tratamiento médico delineado arriba, si los síntomas continúan siendo intolerables, los pacientes pueden ser referidos al cirujano vascular, ""No hay evidencia convincente que soporte el uso de angioplastia percutánea con balón o stent en pacientes con claudicación intermitente"".[26]​

Angioplastia (angioplastia transluminal percutánea) puede ser realizada en lesiones únicas en arterias grandes, tales como la arteria femoral, pero sus beneficios pueden no ser sostenidos.[29]​[30]​ Las tasas de apertura después de la angioplastia son más altas para las arteria ilíaca, y disminuye en arterias distales. Otro criterio que afecta el resultado luego de la revascularización es la longitud de la lesión y su número.[31]​[32]​
Escisión de placa, en la que la placa es separada del interior de la pared del vaso.
Ocasionalmente, puede necesitarse baipás para saltear el área estenosada. Generalmente se usa la vena safena, aunque el material artificial (Gore-Tex) es a veces usado para trayectos largos cuando las venas son de menor calidad.
Raramente se usa la simpatectomia – removiendo los nervios que hacen las arterias contraerse, efectivamente llevando a la vasodilatación.
Cuando la gangrena se ha establecido en los dedos de los pies, la amputación es frecuentemente el último recurso para impedir que los tejidos necróticos infectados causen septicemia.
La Trombosis arterial o embolia tiene un pronóstico sombrío, pero ocasionalmente es tratada tiene éxito el tratamiento con trombólisis.","A partir de la sospecha de EVP, el estudio de primera línea es el índice tobillo-brazo (ITB). Cuando las lecturas de presión arterial en los tobillos son menores que en los brazos, se sospecha que existe bloqueo de las arterias que irrigan el miembro. El ITB normal va de 1.00 a 1.40. El paciente se diagnostica con EVP si el ITB es ≤ 0.90. Valores de ITB de 0.91 a 0.99 se consideran ‘‘borderline’’ o ""limítrofes"" y valores >1.40 indican arterias no compresibles. La EVP se gradúa como leve o moderada si el ITB está entre 0.41 and 0.90, y un ITB menor a 0.40 es sugestivo de EVP. Estas categorías tienen valor pronóstico.[10]​[22]​
En pacientes con EVP pero ITB normal en reposo, puede usarse el ITB durante el ejercicio. Un ITB basal es obtenido previo al ejercicio. Luego se pide al paciente que haga ejercicio (generalmente que camine en una cinta a velocidad constante) hasta que aparezca el dolor de claudicación (o por un máximo de 5 minutos), seguidamente se mide el ITB. Un descenso en el ITB de 15-20% sería diagnóstico de EVP.[5]​[10]​
Es posible que condiciones que endurecen las paredes de los vasos (tales como calcificaciones que ocurren en el escenario de la diabetes de larga evolución) produzcan falsos negativos. Generalmente, pero no siempre, indicados por ITB anormalmente altos (> 1.40). Tales resultados y sospechas ameritan profundizar la investigación diagnóstica y estudios de mayor complejidad.[23]​
Si los valores de ITB son anormales el paso siguiente es por lo general una Ecografía Doppler para averiguar la ubicación y extensión de la aterosclerosis. Otros estudios de imágenes pueden ser realizados mediante angiografía,[1]​ dónde se inserta un catéter en la arteria femoral y selectivamente se lo guía hacia la arteria en cuestión. Mientras se inyecta un contraste radiodenso se toman imágenes de Rayos X. Cualquier estenosis que limite el flujo descubierta en el estudio puede ser tratada por arterectomía, angioplastia o la colocación de un stent. La angiografía con contraste es la técnica de imagen más ampliamente usada y disponible.
La tomografía computada (TC) multislice proporciona imágenes del sistema arterial como una alternativa a la angiografía. La TC proporciona una evaluación completa de la aorta y arterias de las extremidades inferiores sin la necesidad de la inyección de contraste de la angiografía.[cita requerida]La resonancia magnética (RM) es un procedimiento diagnóstico no invasivo que puede producir imágenes de los vasos sanguíneos. Sus ventajas incluyen su seguridad y la habilidad de proveer de reconstrucciones tridimensionales (3D) completas y de alta resolución del abdomen, pelvis y miembros inferiores en una sola toma de imágenes.[24]​[25]​"
Enfermedad de La Peyronie,"La enfermedad de La Peyronie, también llamada induración plástica del pene o IPP, es una enfermedad de causa desconocida, que se caracteriza por la formación de una banda fibrosa en la túnica albugínea de los cuerpos cavernosos del pene que provoca la desviación o curvatura del pene durante la erección.[2]​ Dependiendo de la extensión de la banda fibrosa, el proceso puede imposibilitar la penetración o hacer que la erección resulte dolorosa.","El tratamiento mediante cirugía está indicado cuando la enfermedad causa incapacidad para mantener relaciones sexuales satisfactorias, debido a que la incurvación del pene es severa impidiendo la penetración y causando dolor tanto al paciente como a su pareja.  Previamente a realizar la intervención es preciso comprobar la estabilización de la enfermedad, un paciente cuya enfermedad se encuentra en evolución no debe ser intervenido, por la posibilidad de que exista una recidiva posterior que precisaría una segunda intervención.  Por tanto es preciso aguardar a la estabilización de la enfermedad que tiene lugar por término medio entre un año y año y medio tras el inicio de los síntomas.[8]​
La cirugía tiene como objetivo enderezar el pene. La técnica más empleada es la plicatura de los cuerpos cavernosos, procedimiento que no actúa sobre la placa de fibrosis, sino sobre la convexidad del pene, rectificándola. Aunque el porcentaje de corrección de la curvatura es elevado, su principal inconveniente es el acortamiento peneano y la disfunción eréctil que aparece en un porcentaje de estos individuos.[9]​",Se diagnostica mediante inspección y palpación.
Estenosis de la arteria renal,"En medicina, se conoce como estenosis de la arteria renal al estrechamiento en la luz de esta arteria. La arteria renal es el vaso sanguíneo que lleva la sangre al riñón, su obstrucción disminuye el flujo sanguíneo a este órgano y provoca insuficiencia renal e hipertensión arterial por activación del sistema renina-angiotensina-aldosterona.[1]​","El tratamiento médico se basa en la administración de medicamentos para la hipertensión arterial que bloqueen el sistema renina-angiotensina-aldosterona, como los antagonista de los receptores de angiotensina II o los inhibidores de la ECA, estos medicamento están contraindicados si existe estenosis severa en las 2 arterias renales. El tratamiento quirúrgico se reserva para los casos más graves y consiste en la revascularización arterial mediante angioplastia renal y la colocación de un stent en la arteria renal a través de cateterismo.[2]​[1]​


== Referencias ==","El diagnóstico se sospecha por los síntomas, la existencia de insuficiencia renal e hipertensión arterial severa que no responde al tratamiento. Se confirma mediante técnicas especiales de imagen que permiten constatar que la artería renal está estenosada. Las pruebas más utilizadas son ecografía dúplex, angiotomografía computarizada y angioresonancia magnética.[1]​"
Virus sincitial respiratorio,"El virus respiratorio sincitial humano (VRS) o virus sincitial respiratorio humano (VSR), es un virus de cadena simple de ARN en sentido negativo perteneciente a la familia de los paramixovirus (Paramyxoviridae), la cual incluye virus respiratorios comunes, como los que causan el sarampión y la parotiditis. El VRS es miembro de la subfamilia de los pneumovirus (Pneumoviridae).","Hasta hoy, el tratamiento del virus respiratorio sincicial humano consiste en hidratación y oxigenación hasta que la enfermedad complete su ciclo. Un agente antiviral de amplio espectro, conocido como ribavirina, se empleó como terapia de apoyo en los pacientes más graves; sin embargo, muchos estudios han cuestionado su eficacia, y muchas instituciones ya no lo usan.
Desde hace pocos años, se cuenta con un medicamento inyectable (Palivizumab)[3]​ que contiene anticuerpos específicos contra el VRS. Está indicado únicamente para pacientes de alto riesgo, especialmente lactantes menores de un año, prematuros y con enfermedad crónica pulmonar o cardíaca.[4]​
En noviembre de 2022 la Agencia Europea de Medicamentos aprobó Nirsevimab, un  anticuerpo monoclonal recombinante humano, con la indicación de prevención de la infección por el virus sincitial respiratorio en lactantes y recién nacidos. Se comercializa con el nombre de Beyfortus y se administra por vía intramuscular en dosis única.[5]​","Los métodos de diagnóstico de infección con virus sincitial respiratorio son los siguientes:

Inmunofluorescencia directa
Cultivo en shell vial
Test de antígenos
Amplificación de ácidos nucleicos por PCR"
Síndrome de las piernas inquietas,"El síndrome de Willis-Ekbom o síndrome de las piernas inquietas es un trastorno neurológico caracterizado por sensaciones desagradables en las piernas (menos frecuente en los brazos[4]​) y un impulso incontrolable de moverse y andar cuando se está descansando, en un esfuerzo del paciente de aliviar estas sensaciones (se denomina en ciertas ocasiones ""andadores nocturnos""). Algunos autores postulan que este trastorno pudiera afectar a un 10 % de la población mundial, y sus causas son desconocidas a comienzos del siglo XXI.[5]​","Se trata con diversos medicamentos que van desde la levodopa, los dopaminérgicos, los opiáceos, las benzodiazepinas, los antiepilépticos y los suplementos dietéticos de hierro.[8]​","Los médicos que sospechan el síndrome de las piernas inquietas suelen tratar los pacientes en clínicas del sueño con el objeto de precisar mejor el diagnóstico. Para diagnosticar el RSL, debe detectarse cualquiera de los cuatro síntomas:[14]​

Una necesidad urgente de mover las piernas, acompañada generalmente de una sensación incómoda y poco placentera en las extremidades.
La necesidad de moverse, o la sensación poco placentera en las extremidades, que comienza cuando se inician periodos de descanso.
La necesidad de moverse, o las sensaciones poco placenteras en las extremidades, son parcialmente disminuidas por el movimiento del paciente. Generalmente andando, haciendo estiramientos, etc.
La necesidad de movimiento, o las sensaciones poco placenteras en las extremidades, es mayor en los periodos de tarde/noche, siendo menos probables por la mañana.Debido a una posible causa de transmisión hereditaria,[3]​ los pacientes que tengan entre los familiares un caso de síndrome de las piernas inquietas son potenciales pacientes. De la misma forma un análisis de sangre buscando bajos niveles de ferritinas que indiquen bajos niveles de hierro en sangre."
Fibrosis retroperitoneal,"Fibrosis retroperitoneal o Enfermedad de Ormond, es una enfermedad extraña de causa desconocida. Fue descrita por primera vez en la literatura inglesa en 1948 por Ormond. Sin embargo, la primera descripción conocida de esta enfermedad fue realizada por el urólogo francés Albarran en 1905.  La enfermedad se ha conocido desde entonces con una diversidad de nombres como periuretritis fibrosa, granuloma retroperitoneal esclerosante y retroperitonitis fibrosa. ","En la actualidad el tratamiento predominante es el quirúrgico, que consiste en la extirpación de la masa de tejido endurecido y la liberación de los uréteres y otros órganos o tejidos comprimidos. A veces la operación no resulta sencilla e implica necesariamente cortar los uréteres para volverlos a unir en otro punto. 
Ocasionalmente es imposible operar, por lo tanto, se puede recurrir a la terapia con corticoides. Recientemente, cuando se sospecha una posible causa autoinmune, se han utilizado medicamentos inmunosupresores con resultados esperanzadores.","Normalmente se realiza tardíamente debido a la inespecificidad de la enfermedad. Se puede diagnosticar con:

UE (urografía excretora), estudio de elección para la detección temprana
Biopsia
TAC
US
IRM (1)"
Retroversión uterina,"La retroversión uterina o también llamado útero invertido es una variante de la anatomía de la mujer en la zona pélvica, esto significa que la posición del útero esta hacia atrás en vez de hacia adelante. Pueden sufrir de dolor en la región lumbar o pelvica en el momento del síndrome premenstrual o en su periodo. Otras sienten una sensación persistente de estiramiento hacia abajo, sufriendo relaciones sexuales dolorosas, así como también pueden presentarse interferencias con la vejiga, el intestino o dolencias vagas y generales, tales como dolor de cabeza, tos nerviosa, estreñimiento, irritabilidad, malestar estomacal.","En una situación tan compleja (existen muchas diversidades de las consecuencias de la retroversión uterina), es comprensible que la cura no pueda ser la misma para todos los casos. 
En consecuencia, es cada vez que el ginecólogo determina si es necesario seguir algún tratamiento. En los casos en que la retroversión no causa problemas subjetivos y otorga embarazos normales, cada terapia, de hecho, sería totalmente innecesario. 
Cuando, en cambio, se considera necesario intervenir, se recurre a una intervención quirúrgica para corregir el desplazamiento del útero y fijarlo en la posición normal o natural. Después de esta operación, se encuentran escasas recurrencias, incluso en el caso de los embarazos. 
Por regla general contra la retroversión uterina previa, el respeto de las normas básicas de higiene y requisitos generales que los ginecólogos aconsejan a las partes o después de abortos.[6]​ 


== Referencias ==","Lo que se refiere al diagnóstico, con un examen pélvico revela la posición del útero. Sin embargo, a veces, se puede confundir con una masa pélvica o de un crecimiento de fibroma, pero es suficiente un examen rectovaginal, y se distingue entre una masa y un útero en retroversión. 
Finalmente, tenemos que considerar un examen de ultrasonido, con el que es posible determinar la posición específicamente del útero."
Síndrome de Reye,"El síndrome de Reye es una enfermedad  pediátrica grave  que suele producirse con mayor frecuencia en niños menores de 10 años. Se caracteriza por encefalopatía no específica de progresión rápida,[1]​ con degeneración adiposa de las vísceras y alteración del metabolismo. Afecta principalmente al hígado y cerebro. ","Se realiza tratamiento de sostén,[3]​ con mantenimiento de las funciones vitales, resguardo de la función respiratoria y corrección de parámetros sanguíneos; con prioridad particular a la prevención de lesiones cerebrales, pues el proceso patológico es reversible en gran parte de los demás órganos. Es crucial el manejo de los líquidos aunado al tratamiento, debido al aumento de presión intracraneal. Puede requerir apoyo mecánico para la función respiratoria. No tiene un tratamiento específico.
Hace muchos años, cuando el cuadro era mucho más frecuente, se realizaba una depuración sanguínea con carbón activado. Ahora se suelen  utilizar fármacos que ayudan en el resto de las encefalopatías que incluye diuréticos osmóticos, sedantes y barbitúricos, junto con esquema de antibióticos para infecciones secundarias.","El diagnóstico se basa en antecedentes del paciente, síntomas y datos clínicos.
En el examen físico, se destacan: somnolencia, vómitos, evidencias de laboratorio de disfunción hepática, letargo, cambios del comportamiento y del nivel de conciencia, hiperventilación, diplopía, pérdida de sensibilidad de miembros, convulsiones, postura de descerebración, hepatomegalia.
Además de la sintomatología anteriormente citada, hay ciertos marcadores plasmáticos de utilidad: hipoglucemia, elevación de las enzimas hepáticas, aumento del amonio plasmático. En cuanto a los estudios complementarios: química sanguínea, tomografía, electroencefalograma, resonancia magnética (se observa edema cerebral entre otros cambios)."
Fiebre reumática,"La fiebre reumática es una enfermedad inflamatoria, no supurativa y recurrente producida por la respuesta del sistema inmunitario de algunas personas predispuestas a los antígenos de la bacteria estreptococo del grupo A betahemolítico (Streptococcus pyogenes), a partir de las dos o tres semanas de provocar una faringoamigdalitis aguda.","Se sugiere que el individuo cumpla medidas generales, como el reposo en cama de 6-8 semanas, que por lo general es el tiempo que dura el brote reumático. Si la infección por el microorganismo aún persiste, se tienden a usar antibióticos específicos contra el estreptococo, como la Penicilina Procaínica vía intramuscular cada 24 horas por unos 10 días. En pacientes alérgicos a la penicilina se suele recomendar usar sulfametoxipiridacina a razón de 500 mg/día o bien eritromicina en dosis de 500 mg/día en caso de alergia medicamentosa a las sulfas.
Para el manejo de la fiebre, dolor y los síntomas articulares se recomiendan los salicitatos. Los corticoides se indican para los casos más graves.
Si existe la enfermedad de Corea, sedación.
Se recomienda el tratamiento profiláctico de por vida.","Con el fin de estandarizar el diagnóstico de la fiebre reumática en 1944, el Dr. T. Duckett Jones,[3]​ desarrolló una lista de criterios donde debe encajar los signos y síntomas de cada paciente y poder encontrar evidencias de una infección reciente por estreptococos. Basado en ello, la presentación en la clínica de un criterio o signo mayor con dos menores al mismo tiempo o bien de dos signos mayores por sí mismos, puede establecer, con gran probabilidad, el diagnóstico definitivo de la fiebre reumática, además de la evidencia objetiva de una previa infección post-estreptocócica.[4]​[5]​ Periódicamente se han revisado estos criterios por la Asociación Americana del Corazón, en colaboración con otros grupos.[6]​"
Artritis reumatoide,"La artritis reumatoide (AR) es una enfermedad inflamatoria sistémica autoinmune, caracterizada por una inflamación persistente de las articulaciones, que típicamente afecta a las pequeñas articulaciones de manos y pies, produciendo su destrucción progresiva y generando distintos grados de deformidad e incapacidad funcional. Aunque el trastorno es de causa desconocida, la autoinmunidad juega un papel primordial en su origen, en su cronicidad y en la progresión de la enfermedad. La enfermedad se asocia con la presencia de autoanticuerpos (particularmente el factor reumatoide y los anticuerpos antipéptidos cíclicos citrulinados).[1]​ En ocasiones, también se presenta con manifestaciones extra articulares, pudiendo afectar a diversos órganos y sistemas, como los ojos, pulmones, corazón, piel o vasos sanguíneos.[2]​","No hay cura para la artritis reumatoide, pero los tratamientos actuales pueden mejorar los síntomas y retrasar el progreso de la enfermedad. Los objetivos del tratamiento son reducir al mínimo los síntomas —como el dolor y la inflamación—, prevenir los daños estructurales de las articulaciones —por ejemplo, las erosiones óseas visibles en rayos X—, y mantener la capacidad funcional del paciente.[4]​[88]​  Los estudios en conjunto indican que el tratamiento precoz de la enfermedad con fármacos modificadores de la enfermedad (FAMEs) mejora la evolución a largo plazo, minimiza la progresión del daño estructural y mejora la calidad de vida de los pacientes.[49]​[89]​","El diagnóstico definitivo de la artritis reumatoide depende básicamente de la presencia de las alteraciones clínicas características y de la exclusión de otros procesos inflamatorios que pueden cursar con manifestaciones semejantes.[80]​ Un cuadro clínico típico de poliartritis inflamatoria simétrica, con afectación de las articulaciones pequeñas de manos y pies, respetando el esqueleto axial con la excepción de la columna cervical, sugiere el diagnóstico.[81]​ La presencia de rigidez matutina o la ocasional observación de nódulos subcutáneos apoyan el diagnóstico. De forma adicional, la presencia de factor reumatoide, un líquido sinovial inflamatorio y las alteraciones radiológicas de desmineralización ósea y erosiones en las articulaciones afectadas, ayudarán al reumatólogo a confirmar el diagnóstico.[81]​ La observación aislada de una prueba positiva para el factor reumatoide o de una velocidad de sedimentación elevada, sobre todo en personas de edad avanzada, sin presencia de inflamación en las articulaciones no debe utilizarse como diagnóstico de la artritis reumatoide.[81]​ En estos datos se basan los criterios de 1987 de la American Rheumatism Association (ARA) que han sido utilizados hasta estos últimos años, constituyendo una guía útil para establecer el diagnóstico.[80]​

Estos criterios tienen una sensibilidad del 91-94% y una especificidad del 89% cuando se utilizan para clasificar a los pacientes con artritis reumatoide en comparación con los enfermos que presentan otros procesos reumáticos. No obstante, el hecho de no cumplir estos criterios, sobre todo durante las primeras fases de la enfermedad, no excluye el diagnóstico. Por otra parte, otras enfermedades reumatológicas como el lupus eritematoso sistémico o la artritis psoriásica pueden cumplir estos criterios si adoptan un patrón de afectación articular semejante a la artritis reumatoide.[81]​
En los pacientes que presentan un cuadro típico ya establecido el diagnóstico de artritis reumatoide es fácilmente realizado por el reumatólogo. Sin embargo, en ocasiones el diagnóstico es más difícil de establecer, sobre todo en las fases iniciales de la enfermedad, cuando el paciente puede presentar solo síntomas generales o bien artralgias o artritis intermitente, pudiendo ser necesario un período de observación antes de establecer el diagnóstico definitivo.[82]​ En la mayoría de los individuos, la enfermedad adquiere sus alteraciones clínicas características al cabo de uno o dos años tras su inicio.[81]​ El retraso medio desde el inicio de la enfermedad hasta que se estable el diagnóstico es de nueve meses,[81]​ debido a que con frecuencia los síntomas iniciales son inespecíficos.
Los criterios de 1987 fueron formulados para distinguir a los pacientes con artritis reumatoide establecida de aquellos pacientes con otras enfermedades reumáticas; sin embargo,  no permiten distinguir a los pacientes con artritis reumatoide de nueva aparición de los que padecen alguna otra forma de artritis inflamatoria.[80]​ Además, en los pacientes con artritis inicial, estos criterios no permiten diferenciar de manera fiable a aquellos pacientes que van a padecer más adelante un enfermedad persistente, incapacitante o erosiva, de aquellos que no la van a presentar.[81]​[80]​ Por estos motivos en 2010 se desarrollaron unos nuevos criterios conjuntos del ACR (American College of Rheumatology) y EULAR (European League Against Rheumatism).[13]​ Los criterios ACR/EULAR de 2010 permiten la clasificación como artritis reumatoide con la presencia de sinovitis de al menos una articulación, la ausencia de un diagnóstico alternativo que explique mejor la artritis, y la obtención de una puntuación de al menos 6 de los 10 posibles puntos. Son articulaciones pequeñas: muñecas, metacarpofalángicas (MCFs), interfalángicas proximales (IFPs), interfalángica del pulgar y de 2 a 5.ª metatarsofalángicas (MTFs). Son articulaciones grandes: hombros, codos, caderas, rodillas y tobillos."
